segments.week,campaign.name,metrics.impressions,metrics.clicks,metrics.ctr,metrics.cost_micros,metrics.conversions,metrics.search_impression_share
2021-01-04,BR | Brand | Exact,306160,12859,0.042001,23788665690,911.2019,0.9046
2021-10-25,BR | Brand | Exact,235905,9908,0.042,18329818838,878.919,0.0999
2021-11-01,BR | Brand | Exact,279369,11733,0.041998,21706965012,828.6009,0.7961
2021-11-08,BR | Brand | Exact,233729,9817,0.042002,18160750178,694.0924,0.5715
2021-11-15,BR | Brand | Exact,355411,14927,0.041999,27615434718,1272.4015,0.5525
2021-11-22,BR | Brand | Exact,279203,11727,0.042002,21694068453,941.4593,0.8362
2021-11-29,BR | Brand | Exact,374679,15737,0.042001,29112551886,1435.2419,0.7316
2021-12-06,BR | Brand | Exact,443421,18624,0.042001,34453791115,1753.6375,0.8268
2021-12-13,BR | Brand | Exact,440100,18484,0.042,34195790204,1502.8732,0.8175
2021-12-20,BR | Brand | Exact,343621,14432,0.042,26699377711,1187.3564,0.7404
2021-12-27,BR | Brand | Exact,343872,14443,0.042001,26718879038,1315.6999,0.8412
2022-01-03,BR | Brand | Exact,306750,12883,0.041998,23834467197,1051.6711,0.6474
2022-01-10,BR | Brand | Exact,314674,13216,0.041999,24450142300,1069.9992,0.6904
2022-01-17,BR | Brand | Exact,591506,24843,0.042,45960045085,2374.2309,0.4851
2022-01-24,BR | Brand | Exact,298479,12536,0.042,23191830579,878.9152,0.7628
2022-01-31,BR | Brand | Exact,347852,14610,0.042001,27028118239,1251.8175,0.7631
2022-02-07,BR | Brand | Exact,319594,13423,0.042,24832470536,1146.7054,0.7875
2022-02-14,BR | Brand | Exact,267333,11228,0.042,20771805261,839.3155,0.9102
2022-02-21,BR | Brand | Exact,344563,14472,0.042001,26772550097,1192.5599,0.7738
2022-02-28,BR | Brand | Exact,304366,12783,0.041999,23649227949,1144.7638,0.5646
2022-03-07,BR | Brand | Exact,429881,18055,0.042,33401767570,1665.4273,0.7982
2022-03-14,BR | Brand | Exact,307589,12919,0.042001,23899674135,1111.8909,0.7327
2022-03-21,BR | Brand | Exact,323542,13589,0.042001,25139194703,1154.691,0.6528
2022-03-28,BR | Brand | Exact,618116,25961,0.042,48027600553,1912.9969,0.5017
2022-04-04,BR | Brand | Exact,578932,24315,0.042,44982988775,2244.9853,0.0999
2022-04-11,BR | Brand | Exact,463862,19482,0.042,36042044312,1426.3071,0.5503
2022-04-18,BR | Brand | Exact,421587,17707,0.042001,32757276823,1354.2079,0.9098
2022-04-25,BR | Brand | Exact,280840,11795,0.041999,21821242047,804.357,0.4896
2022-05-02,BR | Brand | Exact,396283,16644,0.042,30791167613,1112.3495,0.5396
2022-05-09,BR | Brand | Exact,501853,21078,0.042,38993949988,1769.5866,0.5699
2022-05-16,BR | Brand | Exact,499251,20969,0.042001,38791797498,1505.8335,0.732
2022-05-23,BR | Brand | Exact,334199,14036,0.041999,25967226644,1358.9513,0.871
2022-05-30,BR | Brand | Exact,410151,17226,0.041999,31868753200,1433.1081,0.7621
2022-06-06,BR | Brand | Exact,431474,18122,0.042,33525514811,1517.6434,0.5071
2022-06-13,BR | Brand | Exact,477762,20066,0.042,37122142056,1425.9259,0.7892
2022-06-20,BR | Brand | Exact,247773,10406,0.041998,19251991930,861.1952,0.6777
2022-06-27,BR | Brand | Exact,237495,9975,0.042001,18453333506,963.3285,0.7355
2022-07-04,BR | Brand | Exact,243730,10237,0.042001,18937783809,729.7241,0.692
2022-07-11,BR | Brand | Exact,239341,10052,0.041999,18596765809,891.7498,0.9106
2022-07-18,BR | Brand | Exact,269943,11338,0.042001,20974601710,1056.0798,0.7314
2022-07-25,BR | Brand | Exact,252273,10595,0.041998,19601629185,889.0872,0.3534
2022-08-01,BR | Brand | Exact,309995,13020,0.042001,24086589805,980.5805,0.8493
2022-08-08,BR | Brand | Exact,356010,14952,0.041999,27661949083,1331.3691,0.6153
2022-08-15,BR | Brand | Exact,285690,11999,0.042,22198106209,1074.295,0.6609
2022-08-22,BR | Brand | Exact,288442,12115,0.042002,22411910401,786.8668,0.7618
2022-08-29,BR | Brand | Exact,315566,13254,0.042001,24519461755,1182.4586,0.6726
2022-09-05,BR | Brand | Exact,369893,15536,0.042001,28740680473,1383.8532,0.5049
2022-09-12,BR | Brand | Exact,326402,13709,0.042,25361426480,1144.9923,0.9275
2022-09-19,BR | Brand | Exact,453601,19051,0.041999,35244800191,1593.6398,0.5232
2022-09-26,BR | Brand | Exact,655710,27540,0.042,50948638662,2617.4778,0.6315
2022-10-03,BR | Brand | Exact,716169,30079,0.042,55646345429,2100.6695,0.8541
2022-10-10,BR | Brand | Exact,427981,17975,0.042,33254151663,1506.235,0.7561
2022-10-17,BR | Brand | Exact,813516,34168,0.042,63210156648,2477.4724,0.5692
2022-10-24,BR | Brand | Exact,828629,34802,0.041999,64384511594,2572.5253,0.6807
2022-10-31,BR | Brand | Exact,797654,33501,0.041999,61977678582,3025.1101,0.6681
2022-11-07,BR | Brand | Exact,688444,28915,0.042001,53492074986,2093.3702,0.7189
2022-11-14,BR | Brand | Exact,511224,21471,0.041999,39722115355,1917.9556,0.515
2022-11-21,BR | Brand | Exact,688752,28928,0.042001,53516064022,2258.4339,0.6688
2022-11-28,BR | Brand | Exact,532444,22363,0.042001,41370927090,2160.8377,0.3136
2022-12-05,BR | Brand | Exact,363945,15286,0.042001,28278493992,1341.7644,0.5458
2022-12-12,BR | Brand | Exact,296056,12434,0.041999,23003573691,1149.3968,0.7318
2022-12-19,BR | Brand | Exact,271868,11418,0.041998,21124156430,1018.1296,0.7324
2022-12-26,BR | Brand | Exact,239173,10045,0.041999,18583725209,751.3613,0.7051
2023-01-02,BR | Brand | Exact,210394,8837,0.042002,16347617862,754.9602,0.9128
2023-01-09,BR | Brand | Exact,240421,10098,0.042001,18680721452,737.5441,0.7405
2023-01-16,BR | Brand | Exact,203248,8536,0.041998,15792388124,712.7183,0.6361
2023-01-23,BR | Brand | Exact,221158,9289,0.042002,17183964192,857.408,0.5776
2023-01-30,BR | Brand | Exact,397326,16688,0.042001,30872218826,1166.4874,0.564
2023-02-06,BR | Brand | Exact,424172,17815,0.041999,32958167423,1672.9372,0.7846
2023-02-13,BR | Brand | Exact,420323,17654,0.042001,32659087391,1379.0094,0.856
2023-02-20,BR | Brand | Exact,494869,20784,0.041999,38451303807,2010.6975,0.6716
2023-02-27,BR | Brand | Exact,422802,17758,0.042001,32851708133,1294.5588,0.6769
2023-03-06,BR | Brand | Exact,353565,14850,0.042001,27471981103,1199.0241,0.6485
2023-03-13,BR | Brand | Exact,294526,12370,0.042,22884702552,1018.5099,0.6007
2023-03-20,BR | Brand | Exact,319112,13403,0.042001,24794970429,1094.1687,0.7161
2023-03-27,BR | Brand | Exact,0,0,0.0,0,0.0,0.6554
2023-04-03,BR | Brand | Exact,192002,8064,0.042,14918559688,621.6288,0.6169
2023-04-10,BR | Brand | Exact,243443,10225,0.042002,18915504132,847.2266,0.6888
2023-04-17,BR | Brand | Exact,290479,12200,0.042,22570197459,1072.6386,0.7548
2023-04-24,BR | Brand | Exact,164917,6926,0.041997,12814022939,586.83,0.6265
2023-05-01,BR | Brand | Exact,0,0,0.0,0,0.0,0.0999
2023-05-08,BR | Brand | Exact,172873,7261,0.042002,13432210007,696.8805,0.7449
2023-05-15,BR | Brand | Exact,177760,7466,0.042,13811943570,531.5592,0.5896
2023-05-22,BR | Brand | Exact,264048,11090,0.042,20516495386,805.7167,0.5719
2023-05-29,BR | Brand | Exact,392075,16467,0.042,30464254333,1176.0516,0.6974
2023-06-05,BR | Brand | Exact,344379,14464,0.042,26758266087,1100.9694,0.6165
2023-06-12,BR | Brand | Exact,273722,11496,0.041999,21268182341,890.9866,0.0999
2023-06-19,BR | Brand | Exact,231989,9744,0.042002,18025524032,925.3613,0.9305
2023-06-26,BR | Brand | Exact,246235,10342,0.042001,19132490790,982.8159,0.6211
2023-07-03,BR | Brand | Exact,273519,11488,0.042001,21252423493,900.1717,0.6743
2023-07-10,BR | Brand | Exact,424999,17850,0.042,33022425763,1377.7044,0.9133
2023-07-17,BR | Brand | Exact,423193,17774,0.042,32882085135,1205.5857,0.845
2023-07-24,BR | Brand | Exact,277391,11650,0.041998,21553291035,1045.1794,0.6948
2023-07-31,BR | Brand | Exact,290140,12186,0.042,22543878561,1067.4572,0.9822
2023-08-07,BR | Brand | Exact,239394,10055,0.042002,18600908035,816.4378,0.6864
2023-08-14,BR | Brand | Exact,240435,10098,0.041999,18681822198,901.6261,0.6367
2023-08-21,BR | Brand | Exact,0,0,0.0,0,0.0,0.5239
2023-08-28,BR | Brand | Exact,0,0,0.0,0,0.0,0.9706
2023-09-04,BR | Brand | Exact,176357,7407,0.042,13702963785,569.3882,0.8774
2023-09-11,BR | Brand | Exact,230249,9670,0.041998,17890362359,649.1259,0.635
2023-09-18,BR | Brand | Exact,244850,10284,0.042001,19024874223,915.2914,0.6305
2023-09-25,BR | Brand | Exact,222729,9355,0.042002,17306016578,621.7068,0.7371
2023-10-02,BR | Brand | Exact,0,0,0.0,0,0.0,0.5875
2023-10-09,BR | Brand | Exact,166465,6992,0.042003,12934311038,458.5492,0.7811
2023-10-16,BR | Brand | Exact,241099,10126,0.041999,18733365034,821.7674,0.8186
2023-10-23,BR | Brand | Exact,208132,8742,0.042002,16171873981,794.3416,0.0999
2023-10-30,BR | Brand | Exact,237152,9960,0.041998,18426728849,675.4157,0.8906
2023-11-06,BR | Brand | Exact,442909,18602,0.042,34414016854,1478.4981,0.8336
2023-11-13,BR | Brand | Exact,610478,25640,0.042,47434116659,1666.9366,0.8206
2023-11-20,BR | Brand | Exact,803182,33734,0.042,62407256073,2915.9461,0.7588
2023-11-27,BR | Brand | Exact,644936,27087,0.042,50111544369,2044.6064,0.8605
2023-12-04,BR | Brand | Exact,337530,14176,0.041999,26226112211,1162.8596,0.5409
2023-12-11,BR | Brand | Exact,226922,9531,0.042001,17631808911,915.1833,0.0999
2023-12-18,BR | Brand | Exact,369051,15500,0.042,28675229332,1358.0784,0.8323
2023-12-25,BR | Brand | Exact,329563,13842,0.042001,25607070880,1242.1104,0.5815
2024-01-01,BR | Brand | Exact,239314,10051,0.041999,18594711496,798.458,0.7625
2024-01-08,BR | Brand | Exact,252738,10615,0.042,19637708890,765.3802,0.4984
2024-01-15,BR | Brand | Exact,353649,14853,0.041999,27478536289,1082.4752,0.6736
2024-01-22,BR | Brand | Exact,398011,16716,0.041999,30925432561,1481.9174,0.7102
2024-01-29,BR | Brand | Exact,288425,12114,0.042001,22410624993,1043.3941,0.6678
2024-02-05,BR | Brand | Exact,260216,10929,0.042,20218816116,1027.4934,0.6989
2024-02-12,BR | Brand | Exact,183268,7697,0.041999,14239919819,603.394,0.836
2024-02-19,BR | Brand | Exact,301739,12673,0.042,23445151826,888.0051,0.6838
2024-02-26,BR | Brand | Exact,277576,11658,0.041999,21567633265,914.6627,0.7683
2024-03-04,BR | Brand | Exact,178443,7495,0.042002,13865022859,724.1682,0.7639
2024-03-11,BR | Brand | Exact,163123,6851,0.041999,12674669765,548.3269,0.0999
2024-03-18,BR | Brand | Exact,325770,13682,0.041999,25312318171,1279.1439,0.0999
2024-03-25,BR | Brand | Exact,213651,8973,0.041998,16600666628,742.1623,0.7122
2024-04-01,BR | Brand | Exact,222957,9364,0.041999,17323748767,674.273,0.7035
2024-04-08,BR | Brand | Exact,301831,12677,0.042,23452252224,1074.6557,0.8659
2024-04-15,BR | Brand | Exact,579688,24347,0.042,45041790765,1634.2785,0.8531
2024-04-22,BR | Brand | Exact,739786,31071,0.042,57481389012,2053.6494,0.785
2024-04-29,BR | Brand | Exact,445444,18709,0.042001,34610965942,1236.8997,0.0999
2024-05-06,BR | Brand | Exact,563678,23674,0.041999,43797783527,2102.833,0.5632
2024-05-13,BR | Brand | Exact,568583,23880,0.041999,44178892507,1654.2499,0.8488
2024-05-20,BR | Brand | Exact,587847,24690,0.042001,45675685369,1907.0474,0.796
2024-05-27,BR | Brand | Exact,296910,12470,0.041999,23069944186,1144.2666,0.0999
2024-06-03,BR | Brand | Exact,390927,16419,0.042,30375034023,1245.6497,0.7298
2024-06-10,BR | Brand | Exact,381125,16007,0.041999,29613388997,1545.7278,0.7697
2024-06-17,BR | Brand | Exact,465178,19537,0.041999,36144310777,1322.0179,0.761
2024-06-24,BR | Brand | Exact,441845,18557,0.041999,34331330586,1206.462,0.6248
2024-07-01,BR | Brand | Exact,300981,12641,0.041999,23386256009,877.8595,0.8123
2024-07-08,BR | Brand | Exact,368366,15471,0.041999,28622018764,1169.2049,0.6134
2024-07-15,BR | Brand | Exact,376058,15794,0.041999,29219725856,1217.6937,0.6383
2024-07-22,BR | Brand | Exact,320125,13445,0.041999,24873682066,901.2626,0.5346
2024-07-29,BR | Brand | Exact,274202,11516,0.041998,21305474376,806.6285,0.0999
2024-08-05,BR | Brand | Exact,229430,9636,0.042,17826679396,933.1395,0.7795
2024-08-12,BR | Brand | Exact,382614,16070,0.042001,29729102047,1239.72,0.7538
2024-08-19,BR | Brand | Exact,326471,13712,0.042001,25366769177,916.8444,0.8593
2024-08-26,BR | Brand | Exact,433525,18208,0.042,33684918652,1460.3742,0.7434
2024-09-02,BR | Brand | Exact,382434,16062,0.041999,29715149661,1479.5957,0.658
2024-09-09,BR | Brand | Exact,475681,19979,0.042001,36960449001,1582.3664,0.4947
2024-09-16,BR | Brand | Exact,327861,13770,0.042,25474834527,979.2171,0.7772
2024-09-23,BR | Brand | Exact,315030,13231,0.041999,24477804545,1190.6592,0.5665
2024-09-30,BR | Brand | Exact,250650,10527,0.041999,19475514250,760.6332,0.9213
2024-10-07,BR | Brand | Exact,302797,12717,0.041998,23527319220,1037.6056,0.5182
2024-10-14,BR | Brand | Exact,238941,10036,0.042002,18565716383,932.2398,0.8163
2024-10-21,BR | Brand | Exact,203864,8562,0.041999,15840253637,639.6187,0.4255
2024-10-28,BR | Brand | Exact,309844,13013,0.041999,24074852528,1078.4751,0.6722
2024-11-04,BR | Brand | Exact,414029,17389,0.041999,32170020001,1373.7297,0.8261
2024-11-11,BR | Brand | Exact,417523,17536,0.042,32441539236,1639.265,0.7459
2024-11-18,BR | Brand | Exact,429616,18044,0.042,33381150974,1424.1749,0.6904
2024-11-25,BR | Brand | Exact,236201,9920,0.041998,18352793958,655.7669,0.7702
2024-12-02,BR | Brand | Exact,289482,12158,0.041999,22492777429,1145.0511,0.0999
2024-12-09,BR | Brand | Exact,349540,14681,0.042001,27159228090,1324.0822,0.7839
2024-12-16,BR | Brand | Exact,253309,10639,0.042,19682124828,869.664,0.6341
2024-12-23,BR | Brand | Exact,163164,6853,0.042001,12677848113,635.1119,0.7948
