week,sin1,cos1,sin2,cos2,trend,holiday_count,holiday_retail_count,category_demand,linear_tv_spend,meta_social_spend,youtube_spend,ctv_spend,search_brand_spend,amazon_retail_spend,revenue,settled
2021-06-14,0.363552,-0.931574,-0.677352,0.73566,0.4408,1,0,-2.132827,0.0,40856.63,20503.95,0.0,34571.88,0.0,1831496.21,True
2021-06-21,0.249016,-0.968499,-0.482344,0.875982,0.4599,0,0,-2.305204,75090.11,0.0,0.0,55219.66,38930.83,55587.25,1913782.74,True
2021-06-28,0.130874,-0.991399,-0.259497,0.965744,0.4791,1,1,-2.228152,0.0,38914.93,12584.85,0.0,30885.54,17738.84,1524707.25,True
2021-07-05,0.010837,-0.999941,-0.021673,0.999765,0.4983,1,1,1.449216,125445.45,0.0,28602.94,52251.15,33741.78,32959.1,2120260.47,True
2021-07-12,-0.109357,-0.994003,0.217403,0.976082,0.5174,0,0,0.378616,0.0,37236.52,0.0,25266.55,19013.91,43839.15,1492228.02,True
2021-07-19,-0.227968,-0.973669,0.44393,0.896061,0.5366,0,0,-0.115157,65336.13,0.0,42796.34,69640.83,19548.16,17353.09,1724313.05,True
2021-07-26,-0.343277,-0.939234,0.644835,0.764322,0.5558,0,0,-0.870604,161022.23,50525.1,28958.08,27263.79,28451.87,29070.75,1639233.01,True
2021-08-02,-0.453615,-0.891198,0.808521,0.588467,0.5749,0,0,-2.440937,64207.84,53607.73,40439.08,37309.44,27746.69,0.0,1472178.24,True
2021-08-09,-0.557384,-0.830255,0.925541,0.378647,0.5941,0,0,-2.17369,53976.9,90186.61,0.0,37359.87,16313.01,0.0,1437912.83,True
2021-08-16,-0.65308,-0.757289,0.989141,0.146972,0.6133,0,0,-1.204276,0.0,35841.08,0.0,0.0,17828.26,0.0,1263615.58,True
2021-08-23,-0.739319,-0.673355,0.995649,-0.093185,0.6324,0,0,0.035308,0.0,36835.65,48579.6,28347.08,15924.06,0.0,1429749.18,True
2021-08-30,-0.814851,-0.57967,0.94469,-0.327964,0.6516,0,0,-0.781552,52348.78,31745.18,69615.59,41491.57,17306.74,31176.71,1693935.82,True
2021-09-06,-0.878582,-0.477591,0.839206,-0.543814,0.6708,1,1,2.285815,0.0,52445.49,0.0,103241.52,21592.59,24044.77,1245357.43,True
2021-09-13,-0.92959,-0.368595,0.685284,-0.728276,0.6899,0,0,1.668799,0.0,99102.31,43643.3,0.0,17199.42,16969.87,923201.06,True
2021-09-20,-0.967136,-0.254261,0.491809,-0.870703,0.7091,0,0,0.29211,95171.03,44549.54,120906.9,32575.14,16858.79,22389.81,2202774.34,True
2021-09-27,-0.990675,-0.136244,0.269948,-0.962875,0.7282,0,0,-0.577726,0.0,0.0,34083.71,18083.13,19443.85,0.0,764705.71,True
2021-10-04,-0.999868,-0.016255,0.032506,-0.999472,0.7474,0,0,-1.226284,0.0,0.0,0.0,21544.65,20209.66,36052.63,857849.86,True
2021-10-11,-0.99458,0.10397,-0.206812,-0.978381,0.7666,1,0,-0.973566,0.0,24730.46,0.0,38899.91,17152.39,26070.36,1254073.03,True
2021-10-18,-0.97489,0.222689,-0.434194,-0.90082,0.7857,0,0,-2.061034,0.0,0.0,20531.17,0.0,18503.57,17437.65,1298457.99,True
2021-10-25,-0.94108,0.338183,-0.636514,-0.771265,0.8049,0,0,-1.484952,73069.57,0.0,23580.52,19115.1,18329.82,107104.92,1462444.83,True
2021-11-01,-0.893643,0.448779,-0.802097,-0.597194,0.8241,0,0,-1.029274,81104.08,36587.94,0.0,0.0,21706.97,75340.6,1456092.16,True
2021-11-08,-0.833263,0.552877,-0.921383,-0.388655,0.8432,1,0,-1.423163,90438.17,0.0,39253.11,0.0,18160.75,21245.74,1692219.41,True
2021-11-15,-0.760816,0.648967,-0.98749,-0.157683,0.8624,0,0,0.295752,109782.64,29932.38,0.0,31498.0,27615.43,33876.77,2112846.03,True
2021-11-22,-0.677352,0.73566,-0.9966,0.08239,0.8816,1,1,-0.531908,152254.91,0.0,0.0,29842.71,21694.07,18306.45,3671705.1,True
2021-11-29,-0.584077,0.811698,-0.948189,0.317707,0.9007,0,0,0.372423,155249.13,36757.46,40338.74,0.0,29112.55,190215.27,2514334.28,True
2021-12-06,-0.482344,0.875982,-0.84505,0.534688,0.9199,0,0,1.222817,90711.83,0.0,24625.65,29464.47,34453.79,62467.99,2184331.6,True
2021-12-13,-0.373626,0.927579,-0.693136,0.720807,0.9391,0,0,-0.343675,0.0,0.0,20277.02,0.0,34195.79,54772.78,2728664.61,True
2021-12-20,-0.259497,0.965744,-0.501216,0.865322,0.9582,1,1,-1.730339,0.0,31569.59,19111.59,0.0,26699.38,33554.01,3665515.36,True
2021-12-27,-0.141611,0.989922,-0.280367,0.959893,0.9774,1,1,0.131547,0.0,78899.87,32861.0,37319.9,26718.88,61322.94,4267215.83,True
2022-01-03,-0.021673,0.999765,-0.043335,0.999061,0.9966,0,0,1.642047,0.0,36832.64,26193.62,27117.68,23834.47,23720.23,4015918.17,True
2022-01-10,0.098579,0.995129,0.196197,0.980564,1.0157,0,0,0.646171,69512.44,52007.31,34043.7,93130.24,24450.14,0.0,3075018.77,True
2022-01-17,0.217403,0.976082,0.424406,0.905472,1.0349,1,0,0.01457,66059.16,0.0,0.0,19747.72,45960.05,0.0,3605111.64,True
2022-01-24,0.333078,0.942899,0.628119,0.778118,1.054,0,0,-1.284891,84938.55,61459.93,14138.96,57157.27,23191.83,25599.85,3516046.61,True
2022-01-31,0.44393,0.896061,0.795578,0.605852,1.0732,0,0,-2.516651,0.0,0.0,0.0,15197.61,27028.12,0.0,4453476.11,True
2022-02-07,0.548353,0.836247,0.917117,0.398617,1.0924,0,0,-1.177089,0.0,0.0,0.0,30242.07,24832.47,41743.61,2829086.87,True
2022-02-14,0.644835,0.764322,0.985723,0.168375,1.1115,0,0,-0.137665,219251.37,46037.53,18581.69,19551.53,20771.81,30344.57,3777984.96,True
2022-02-21,0.731978,0.681328,0.997435,-0.071585,1.1307,1,0,-0.887523,55590.44,91088.53,0.0,31651.65,26772.55,16958.65,2832502.11,True
2022-02-28,0.808521,0.588467,0.951576,-0.307413,1.1499,0,0,-2.09742,75785.14,42710.73,48328.02,30485.64,23649.23,18027.36,2335381.85,True
2022-03-07,0.873355,0.487084,0.850795,-0.525498,1.169,0,0,-1.254723,0.0,0.0,17325.86,0.0,33401.77,33580.8,2173580.46,True
2022-03-14,0.925541,0.378647,0.700907,-0.713253,1.1882,0,0,-1.076967,80648.45,33763.39,47086.06,20892.96,23899.67,14180.54,2113813.03,True
2022-03-21,0.964324,0.264727,0.510564,-0.85984,1.2074,0,0,-0.740566,89955.04,31999.61,22696.95,28720.67,25139.19,13984.28,3035769.1,True
2022-03-28,0.989141,0.146972,0.290753,-0.956798,1.2265,0,0,1.56163,69747.77,48972.48,464812.61,50590.53,48027.6,35276.02,3242182.01,True
2022-04-04,0.999633,0.02709,0.05416,-0.998532,1.2457,0,0,2.089934,92005.3,0.0,65918.6,0.0,44982.99,59890.28,3032314.18,True
2022-04-11,0.995649,-0.093185,-0.185559,-0.982633,1.2649,0,0,2.109375,0.0,128315.08,69892.92,31250.54,36042.04,31326.82,3164859.21,True
2022-04-18,0.977246,-0.212111,-0.414568,-0.910018,1.284,0,0,1.911185,0.0,44852.72,77988.02,22747.55,32757.28,0.0,2675820.24,True
2022-04-25,0.94469,-0.327964,-0.619649,-0.784879,1.3032,0,0,0.297464,113661.13,38571.73,70354.08,46150.46,21821.24,13755.07,2070270.96,True
2022-05-02,0.898454,-0.439068,-0.788965,-0.614438,1.3223,0,0,0.553554,109763.63,63502.89,22094.8,166269.78,30791.17,16916.24,3195351.23,True
2022-05-09,0.839206,-0.543814,-0.912744,-0.408533,1.3415,0,0,0.182066,0.0,133133.75,17101.66,0.0,38993.95,0.0,2534498.37,True
2022-05-16,0.767805,-0.640684,-0.98384,-0.179048,1.3607,0,0,0.568111,62414.74,116523.92,33788.97,27028.47,38791.8,15170.0,2353490.64,True
2022-05-23,0.685284,-0.728276,-0.998152,0.060771,1.3798,0,0,1.026719,0.0,52410.3,82023.33,0.0,25967.23,30211.46,2996465.69,True
2022-05-30,0.592839,-0.805321,-0.954852,0.297083,1.399,1,1,1.051852,93099.31,67148.54,81842.13,52341.46,31868.75,79098.2,2369024.4,True
2022-06-06,0.491809,-0.870703,-0.856439,0.516247,1.4182,0,0,-0.383301,176705.88,0.0,180326.56,77691.07,33525.51,0.0,2818522.27,True
2022-06-13,0.383657,-0.923476,-0.708595,0.705615,1.4373,1,0,-0.773444,0.0,0.0,64523.92,35189.25,37122.14,14910.15,2280210.59,True
2022-06-20,0.269948,-0.962875,-0.519852,0.854256,1.4565,1,0,-1.561866,0.0,0.0,16026.88,0.0,19251.99,17541.01,2254399.84,True
2022-06-27,0.15233,-0.98833,-0.301105,0.953591,1.4757,0,0,0.055487,0.0,65968.52,62807.43,0.0,18453.33,46515.99,1937751.62,True
2022-07-04,0.032506,-0.999472,-0.064978,0.997887,1.4948,1,1,-0.12607,0.0,65817.91,15755.31,0.0,18937.78,33225.45,1792972.76,True
2022-07-11,-0.087789,-0.996139,0.1749,0.984586,1.514,0,0,-0.332261,94388.9,133391.17,32484.87,152271.59,18596.77,14638.79,1768167.45,True
2022-07-18,-0.206812,-0.978381,0.404682,0.914457,1.5332,0,0,0.304343,84525.13,45170.65,17876.68,0.0,20974.6,13899.92,1450572.95,True
2022-07-25,-0.322841,-0.946453,0.611107,0.791548,1.5523,0,0,-0.035621,315040.88,0.0,26827.93,40097.02,19601.63,13228.25,2024486.88,True
2022-08-01,-0.434194,-0.90082,0.78226,0.622952,1.5715,0,0,-0.168555,0.0,51976.56,37805.04,20544.08,24086.59,25564.86,1547242.63,True
2022-08-08,-0.539259,-0.84214,0.908263,0.4184,1.5906,0,0,1.598771,86810.79,0.0,22898.29,26797.5,27661.95,31452.55,1658251.48,True
2022-08-15,-0.636514,-0.771265,0.981842,0.189699,1.6098,0,0,0.450193,0.0,71870.18,72052.39,0.0,22198.11,40861.97,1875980.11,True
2022-08-22,-0.724552,-0.68922,0.998752,-0.049951,1.629,0,0,-0.022472,56341.13,0.0,135883.25,28011.6,22411.91,19012.47,917229.26,True
2022-08-29,-0.802097,-0.597194,0.958015,-0.286718,1.6481,0,0,-1.146562,0.0,0.0,14408.93,32632.92,24519.46,0.0,1258123.65,True
2022-09-05,-0.868025,-0.49652,0.861984,-0.506936,1.6673,1,1,-0.92958,66594.68,0.0,37229.05,0.0,28740.68,0.0,1010485.54,True
2022-09-12,-0.921383,-0.388655,0.7162,-0.697895,1.6865,0,0,-0.519233,57894.06,50994.93,33367.27,49110.61,25361.43,0.0,1022073.43,True
2022-09-19,-0.961398,-0.275161,0.529079,-0.848572,1.7056,0,0,-0.263187,0.0,0.0,26792.38,0.0,35244.8,35035.41,909122.73,True
2022-09-26,-0.98749,-0.157683,0.311421,-0.950272,1.7248,0,0,0.452379,94889.02,0.0,0.0,21753.72,50948.64,22121.64,1022443.46,True
2022-10-03,-0.999281,-0.037921,0.075788,-0.997124,1.744,0,0,-0.187819,0.0,38532.91,0.0,0.0,55646.35,17024.78,1416610.76,True
2022-10-10,-0.9966,0.08239,-0.16422,-0.986424,1.7631,1,0,-0.789981,0.0,0.0,0.0,24574.23,33254.15,76725.06,1238656.81,True
2022-10-17,-0.979487,0.201508,-0.394748,-0.918789,1.7823,0,0,-0.514225,0.0,0.0,41854.31,29885.33,63210.16,33223.7,1384632.2,True
2022-10-24,-0.948189,0.317707,-0.602493,-0.798124,1.8015,0,0,0.674475,0.0,36378.87,25245.4,0.0,64384.51,36896.77,1493371.86,True
2022-10-31,-0.903159,0.429306,-0.775463,-0.631392,1.8206,0,0,2.233779,0.0,43626.09,0.0,31252.43,61977.68,74199.16,1548476.75,True
2022-11-07,-0.84505,0.534688,-0.903675,-0.428218,1.8398,1,0,0.839081,0.0,33542.2,43003.52,19680.29,53492.07,43562.18,1892868.76,True
2022-11-14,-0.774703,0.632326,-0.979729,-0.200328,1.8589,0,0,0.907722,0.0,37768.68,31246.37,20386.8,39722.12,28414.58,2559345.23,True
2022-11-21,-0.693136,0.720807,-0.999234,0.039124,1.8781,1,1,0.017857,73768.53,33589.68,0.0,19336.3,53516.06,44767.04,3194341.04,True
2022-11-28,-0.601532,0.798849,-0.961066,0.276319,1.8973,0,0,1.101412,0.0,0.0,18685.0,0.0,41370.93,51397.75,3152259.34,True
2022-12-05,-0.501216,0.865322,-0.867427,0.497565,1.9164,0,0,0.339595,0.0,0.0,0.0,0.0,28278.49,32672.67,2338027.54,True
2022-12-12,-0.393642,0.919264,-0.723721,0.690092,1.9356,0,0,0.092194,0.0,39736.71,0.0,0.0,23003.57,63142.11,2973563.95,True
2022-12-19,-0.280367,0.959893,-0.538244,0.842789,1.9548,1,1,0.831234,188873.99,0.0,73175.34,0.0,21124.16,47458.52,3176197.15,True
2022-12-26,-0.163032,0.986621,-0.321701,0.946841,1.9739,2,2,0.738857,91073.82,0.0,41812.21,46753.43,18583.73,24115.12,3340482.39,True
2023-01-02,-0.043335,0.999061,-0.086589,0.996244,1.9931,1,1,-0.310648,69431.58,0.0,20718.62,18244.17,16347.62,20237.36,3191555.61,True
2023-01-09,0.076988,0.997032,0.15352,0.988146,2.0123,0,0,-0.120754,62198.74,63681.12,36032.95,17071.79,18680.72,0.0,3554226.24,True
2023-01-16,0.196197,0.980564,0.384768,0.923013,2.0314,1,0,1.187851,0.0,43794.02,0.0,20041.95,15792.39,0.0,4906456.62,True
2023-01-23,0.312565,0.949896,0.593809,0.804606,2.0506,0,0,0.244669,75712.03,64679.08,80492.51,45607.0,17183.96,26752.18,3607607.67,True
2023-01-30,0.424406,0.905472,0.768575,0.639759,2.0698,0,0,0.721467,0.0,37580.5,48673.91,0.0,30872.22,0.0,4491892.55,True
2023-02-06,0.530101,0.847935,0.898982,0.437986,2.0889,0,0,0.216479,99075.95,0.0,31023.72,49576.39,32958.17,29142.87,3620907.25,True
2023-02-13,0.628119,0.778118,0.9775,0.210934,2.1081,0,0,0.063302,0.0,36197.33,38704.06,25325.89,32659.09,14567.96,2176246.1,True
2023-02-20,0.71704,0.697032,0.9996,-0.028293,2.1273,1,0,1.713398,129847.29,187055.61,108279.41,0.0,38451.3,18865.91,3818547.51,True
2023-02-27,0.795578,0.605852,0.964004,-0.265888,2.1464,0,0,0.485793,524676.82,0.0,52903.11,70380.0,32851.71,25726.25,3220768.45,True
2023-03-06,0.862594,0.505898,0.872768,-0.488135,2.1656,0,0,-0.388107,167222.13,34606.29,27521.76,20633.56,27471.98,81370.7,3204642.71,True
2023-03-13,0.917117,0.398617,0.731157,-0.682209,2.1847,0,0,0.867439,161354.2,143057.46,0.0,79942.89,22884.7,24903.43,3141177.59,True
2023-03-20,0.95836,0.285564,0.547346,-0.836906,2.2039,0,0,1.071873,117914.3,0.0,33613.74,147208.7,24794.97,16334.17,4362335.77,True
2023-03-27,0.985723,0.168375,0.331943,-0.9433,2.2231,0,0,0.745531,63394.9,73384.49,0.0,32258.23,0.0,37193.55,2778417.22,True
2023-04-03,0.998811,0.048748,0.097381,-0.995247,2.2422,0,0,1.262624,0.0,37395.98,105060.14,78477.34,14918.56,0.0,3515750.19,True
2023-04-10,0.997435,-0.071585,-0.142802,-0.989751,2.2614,0,0,1.240228,231053.5,0.0,66512.79,31301.36,18915.5,15698.4,2579193.42,True
2023-04-17,0.981613,-0.190881,-0.374743,-0.927129,2.2806,0,0,0.49027,68038.5,94309.0,49343.66,38482.45,22570.2,0.0,2405101.23,True
2023-04-24,0.951576,-0.307413,-0.585054,-0.810994,2.2997,0,0,-0.003409,78031.1,28364.06,0.0,32574.09,12814.02,17922.07,1898289.91,True
2023-05-01,0.907758,-0.419493,-0.761597,-0.648051,2.3189,0,0,0.423291,84795.0,147736.91,59977.71,44997.83,0.0,0.0,2767510.34,True
2023-05-08,0.850795,-0.525498,-0.894182,-0.447703,2.3381,0,0,1.153284,80195.7,45103.61,20127.39,22561.02,13432.21,0.0,1912674.15,True
2023-05-15,0.78151,-0.623893,-0.975157,-0.221515,2.3572,0,0,0.764663,0.0,0.0,0.0,66272.88,13811.94,34644.04,2199408.72,True
2023-05-22,0.700907,-0.713253,-0.999848,0.017459,2.3764,0,0,-0.526932,0.0,59983.81,41249.08,0.0,20516.5,0.0,2792740.38,True
2023-05-29,0.610154,-0.792283,-0.966829,0.255425,2.3956,1,1,1.468918,189789.4,45473.18,0.0,33752.87,30464.25,53715.79,2356754.15,True
2023-06-05,0.510564,-0.85984,-0.878007,0.478648,2.4147,0,0,0.913588,0.0,0.0,41322.32,85863.77,26758.27,29523.83,2615698.46,True
2023-06-12,0.403581,-0.914944,-0.738508,0.674245,2.4339,0,0,1.326243,119275.3,53573.95,18139.02,37829.27,21268.18,18203.3,2515429.01,True
2023-06-19,0.290753,-0.956798,-0.556383,0.830926,2.453,1,0,0.15997,155779.2,43673.19,17207.0,0.0,18025.52,21108.66,1933477.04,True
2023-06-26,0.173714,-0.984796,-0.342146,0.939647,2.4722,0,0,-0.634082,61158.1,33694.2,19340.13,0.0,19132.49,12705.09,1820856.02,True
2023-07-03,0.05416,-0.998532,-0.10816,0.994133,2.4914,1,1,0.478028,0.0,101866.43,65641.5,75262.9,21252.42,14716.94,1991898.13,True
2023-07-10,-0.066179,-0.997808,0.132068,0.991241,2.5105,0,0,0.878593,79790.7,66795.64,52940.15,60542.64,33022.43,17877.46,2469140.31,True
2023-07-17,-0.185559,-0.982633,0.364674,0.931135,2.5297,0,0,-0.57369,278175.9,58079.2,50581.03,22335.11,32882.09,22001.63,2037820.5,True
2023-07-24,-0.302253,-0.953228,0.576231,0.817287,2.5489,0,0,-0.486976,0.0,28279.94,15146.61,70494.32,21553.29,0.0,1153204.41,True
2023-07-31,-0.414568,-0.910018,0.75453,0.656266,2.568,0,0,0.494892,0.0,0.0,51100.21,53669.8,22543.88,26616.31,1431088.36,True
2023-08-07,-0.520881,-0.85363,0.889278,0.457367,2.5872,0,0,-0.362881,112599.6,60136.51,96211.71,59220.06,18600.91,27696.96,1398018.03,True
2023-08-14,-0.619649,-0.784879,0.972699,0.232069,2.6064,0,0,1.340731,99677.28,33578.26,36433.33,0.0,18681.82,15987.57,1325789.18,True
2023-08-21,-0.709444,-0.704761,0.999978,-0.006623,2.6255,0,0,0.060801,0.0,84721.19,19318.56,65018.79,0.0,16840.5,2138515.25,True
2023-08-28,-0.788965,-0.614438,0.96954,-0.244933,2.6447,0,0,-1.089727,0.0,65151.55,17214.1,23992.63,0.0,0.0,1575260.71,True
2023-09-04,-0.85706,-0.515216,0.883142,-0.469105,2.6639,1,1,-0.083924,107547.05,0.0,27875.55,19362.46,13702.96,0.0,1082745.89,True
2023-09-11,-0.912744,-0.408533,0.745771,-0.666202,2.683,0,0,-0.388051,77535.37,0.0,51789.56,0.0,17890.36,12745.07,1248656.4,True
2023-09-18,-0.955209,-0.295933,0.565356,-0.824847,2.7022,0,0,0.508112,222011.4,0.0,31708.76,49941.46,19024.87,13781.25,1049158.51,True
2023-09-25,-0.98384,-0.179048,0.352309,-0.935884,2.7213,0,0,0.063591,85820.33,27290.47,45152.36,18708.38,17306.02,18113.31,1308223.65,True
2023-10-02,-0.998224,-0.059569,0.118927,-0.992903,2.7405,0,0,1.32609,0.0,0.0,31037.44,0.0,0.0,88758.53,1278765.37,True
2023-10-09,-0.998152,0.060771,-0.121318,-0.992614,2.7597,1,0,0.574924,60507.66,0.0,57894.28,59800.97,12934.31,31165.0,1396469.79,True
2023-10-16,-0.983624,0.180232,-0.354562,-0.935033,2.7788,0,0,0.185017,0.0,0.0,58234.32,0.0,18733.37,22706.57,1782722.58,True
2023-10-23,-0.954852,0.297083,-0.56734,-0.823483,2.798,0,0,-1.382542,55590.82,34745.89,51751.38,0.0,16171.87,57381.74,1476731.47,True
2023-10-30,-0.912251,0.409631,-0.747373,-0.664404,2.8172,0,0,-1.036961,70580.82,0.0,18276.39,0.0,18426.73,32263.68,1845785.05,True
2023-11-06,-0.856439,0.516247,-0.884269,-0.466977,2.8363,1,0,-1.018618,63346.34,0.0,24543.81,67055.72,34414.02,46040.15,2154109.06,True
2023-11-13,-0.788225,0.615387,-0.970127,-0.242597,2.8555,0,0,-0.955823,53860.63,58379.95,0.0,0.0,47434.12,101270.0,2075326.91,True
2023-11-20,-0.708595,0.705615,-0.999991,-0.004214,2.8747,1,1,-0.461286,0.0,0.0,48598.78,0.0,62407.26,14440.02,3071144.89,True
2023-11-27,-0.618704,0.785624,-0.972138,0.234411,2.8938,0,0,-0.032758,0.0,0.0,0.0,0.0,50111.54,20496.03,2251671.75,True
2023-12-04,-0.519852,0.854256,-0.888174,0.459507,2.913,0,0,-0.618691,114780.51,59764.29,0.0,16568.61,26226.11,35506.16,2957659.73,True
2023-12-11,-0.413472,0.910517,-0.752947,0.658081,2.9322,0,0,-1.111706,75273.47,0.0,89581.0,31027.18,17631.81,33277.71,3222910.25,True
2023-12-18,-0.301105,0.953591,-0.574261,0.818672,2.9513,0,0,-0.234728,94682.06,27046.08,38456.86,77822.79,28675.23,80347.09,3232134.84,True
2023-12-25,-0.184376,0.982856,-0.36243,0.932011,2.9705,1,1,-0.677411,59659.11,36011.85,0.0,43671.9,25607.07,29035.33,5716157.45,True
2024-01-01,-0.064978,0.997887,-0.129681,0.991556,2.9897,1,1,-1.220306,82633.71,117900.17,34545.87,27785.63,18594.71,11642.67,3473395.19,True
2024-01-08,0.055362,0.998466,0.110554,0.99387,3.0088,0,0,-0.704067,0.0,31296.59,63197.91,0.0,19637.71,0.0,3081112.42,True
2024-01-15,0.1749,0.984586,0.344408,0.93882,3.028,1,0,0.437325,0.0,76311.32,27635.42,0.0,27478.54,36347.55,3121925.32,True
2024-01-22,0.291905,0.956447,0.558383,0.829583,3.0471,0,0,0.373848,178276.39,0.0,0.0,104550.88,30925.43,19103.32,3596489.9,True
2024-01-29,0.404682,0.914457,0.740129,0.672465,3.0663,0,0,1.850774,0.0,44586.32,44382.55,50221.67,22410.62,32451.73,4955865.07,True
2024-02-05,0.511599,0.859224,0.879157,0.476533,3.0855,0,0,1.006482,0.0,0.0,114208.69,0.0,20218.82,15501.43,3136283.41,True
2024-02-12,0.611107,0.791548,0.967441,0.253096,3.1046,0,0,0.958883,0.0,84322.66,0.0,26801.71,14239.92,26536.38,4555056.91,True
2024-02-19,0.701765,0.712408,0.999887,0.015051,3.1238,1,0,2.117338,140116.5,0.0,24922.36,73169.77,23445.15,30481.46,3000841.75,True
2024-02-26,0.78226,0.622952,0.974621,-0.223862,3.143,0,0,0.923405,0.0,53962.09,44938.17,0.0,21567.63,16945.32,3068534.89,True
2024-03-04,0.851427,0.524474,0.893102,-0.449855,3.1621,0,0,-0.364119,0.0,50718.64,29742.31,59501.66,13865.02,0.0,3169689.96,True
2024-03-11,0.908263,0.4184,0.760034,-0.649883,3.1813,0,0,-2.894972,49093.5,22240.12,45103.2,30232.53,12674.67,16964.8,2149796.82,True
2024-03-18,0.951946,0.306267,0.583099,-0.812401,3.2005,0,0,-1.274965,123874.43,66255.03,83462.66,85648.7,25312.32,20723.88,3704138.03,True
2024-03-25,0.981842,0.189699,0.372509,-0.928029,3.2196,0,0,-1.999246,0.0,0.0,30668.72,21088.65,16600.67,23896.41,1869958.33,True
2024-04-01,0.99752,0.070384,0.140418,-0.990092,3.2388,0,0,-1.378423,59463.1,32736.79,0.0,37282.85,17323.75,0.0,2028508.27,True
2024-04-08,0.998752,-0.049951,-0.099777,-0.99501,3.258,0,0,-0.591606,0.0,48604.88,26572.38,0.0,23452.25,0.0,1989949.94,True
2024-04-15,0.98552,-0.169562,-0.334214,-0.942497,3.2771,0,0,0.253064,0.0,103852.82,0.0,20743.75,45041.79,0.0,1409254.32,True
2024-04-22,0.958015,-0.286718,-0.54936,-0.835586,3.2963,0,0,0.847266,162784.58,0.0,46558.24,76577.56,57481.39,22003.39,2721679.59,True
