time,holiday_count,holiday_newyear,holiday_memorial,holiday_july4,holiday_juneteenth,holiday_labor,holiday_thanksgiving,holiday_christmas,weeks_to_christmas,brand_interest_index,Channel1_reach,Channel1_frequency,Channel4_reach,Channel4_frequency
2021-11-29,0,0,0,0,0,0,0,0,3,29,7563842,1.710072,21020858,1.917959
2021-12-06,0,0,0,0,0,0,0,0,2,27,8998865,1.746439,24286408,2.087616
2021-12-13,0,0,0,0,0,0,0,0,1,69,21230115,2.032865,25747886,2.197112
2021-12-20,2,0,0,0,0,0,0,1,0,43,11296130,1.812821,14681477,1.773018
2021-12-27,2,1,0,0,0,0,0,0,51,26,6197108,1.67248,23981288,2.0508
2022-01-03,0,0,0,0,0,0,0,0,50,43,17603143,1.910647,29392952,2.306095
2022-01-10,0,0,0,0,0,0,0,0,49,17,8890693,1.754536,23216860,1.976801
2022-01-17,1,0,0,0,0,0,0,0,48,29,4742664,1.686275,24251456,2.064087
2022-01-24,0,0,0,0,0,0,0,0,47,40,14013765,1.835969,8028227,1.570758
2022-01-31,0,0,0,0,0,0,0,0,46,22,10134404,1.776491,9282804,1.627066
2022-02-07,0,0,0,0,0,0,0,0,45,50,17594116,1.944787,18431397,1.872605
2022-02-14,0,0,0,0,0,0,0,0,44,31,11578595,1.802822,13275477,1.641258
2022-02-21,1,0,0,0,0,0,0,0,43,25,6237960,1.701713,23626920,2.008117
2022-02-28,0,0,0,0,0,0,0,0,42,39,11614745,1.806478,15415293,1.776669
2022-03-07,0,0,0,0,0,0,0,0,41,16,6470691,1.711644,15403373,1.778492
2022-03-14,0,0,0,0,0,0,0,0,40,26,10835875,1.788755,22367929,1.943141
2022-03-21,0,0,0,0,0,0,0,0,39,23,8687290,1.770215,15976494,1.783782
2022-03-28,0,0,0,0,0,0,0,0,38,13,3616975,1.679822,6088933,1.522919
2022-04-04,0,0,0,0,0,0,0,0,37,28,10381860,1.739585,12562306,1.662896
2022-04-11,0,0,0,0,0,0,0,0,36,30,7902353,1.73913,17011234,1.783151
2022-04-18,0,0,0,0,0,0,0,0,35,31,3936467,1.662373,5562497,1.537852
2022-04-25,0,0,0,0,0,0,0,0,34,36,6898512,1.753756,15224639,1.777194
2022-05-02,0,0,0,0,0,0,0,0,33,37,5347317,1.66561,13776186,1.738292
2022-05-09,0,0,0,0,0,0,0,0,32,47,10080760,1.73578,21822771,1.992311
2022-05-16,0,0,0,0,0,0,0,0,31,23,5434614,1.729515,9815569,1.620771
2022-05-23,0,0,0,0,0,0,0,0,30,45,13944083,1.820988,20035306,1.981764
2022-05-30,1,0,1,0,0,0,0,0,29,52,10612455,1.799132,20063059,1.971924
2022-06-06,0,0,0,0,0,0,0,0,28,41,9094362,1.77436,19602037,1.894337
2022-06-13,1,0,0,0,1,0,0,0,27,53,12479131,1.828368,21262260,1.923923
2022-06-20,1,0,0,0,1,0,0,0,26,58,15422345,1.923392,24036479,2.106681
2022-06-27,0,0,0,0,0,0,0,0,25,41,13576890,1.903588,9675198,1.598087
2022-07-04,1,0,0,1,0,0,0,0,24,38,7844119,1.764149,19299835,1.892806
2022-07-11,0,0,0,0,0,0,0,0,23,46,10402460,1.775107,29083839,2.260326
2022-07-18,0,0,0,0,0,0,0,0,22,45,10317666,1.791961,21888418,1.995548
2022-07-25,0,0,0,0,0,0,0,0,21,19,6988040,1.695386,9712441,1.63834
2022-08-01,0,0,0,0,0,0,0,0,20,52,11163780,1.842176,19674031,1.903148
2022-08-08,0,0,0,0,0,0,0,0,19,33,8070387,1.726574,21067977,1.955434
2022-08-15,0,0,0,0,0,0,0,0,18,23,6875779,1.68843,13252697,1.709778
2022-08-22,0,0,0,0,0,0,0,0,17,68,22916871,2.016,22021023,1.964286
2022-08-29,0,0,0,0,0,0,0,0,16,63,14715558,1.848391,28442886,2.341997
2022-09-05,1,0,0,0,0,1,0,0,15,80,23552395,2.090366,19887672,1.901374
2022-09-12,0,0,0,0,0,0,0,0,14,41,8104803,1.749584,21039824,1.952403
2022-09-19,0,0,0,0,0,0,0,0,13,38,13034900,1.824844,25674027,2.137183
2022-09-26,0,0,0,0,0,0,0,0,12,43,7639232,1.74219,17966399,1.8187
2022-10-03,0,0,0,0,0,0,0,0,11,65,19767789,1.9746,22513777,1.992781
2022-10-10,1,0,0,0,0,0,0,0,10,54,14197302,1.818858,33236484,2.518555
2022-10-17,0,0,0,0,0,0,0,0,9,45,9132427,1.737491,28942563,2.333649
2022-10-24,0,0,0,0,0,0,0,0,8,35,12670307,1.822033,12053731,1.664482
2022-10-31,0,0,0,0,0,0,0,0,7,54,20272940,1.986614,17409538,1.813715
2022-11-07,1,0,0,0,0,0,0,0,6,58,14654790,1.865729,31015745,2.4745
2022-11-14,0,0,0,0,0,0,0,0,5,54,12159755,1.782651,25919205,2.221943
2022-11-21,1,0,0,0,0,0,1,0,4,67,14540095,1.844859,24606627,2.119513
2022-11-28,0,0,0,0,0,0,0,0,3,50,14294762,1.872329,28765796,2.29108
2022-12-05,0,0,0,0,0,0,0,0,2,57,16508627,1.876901,18384106,1.862119
2022-12-12,0,0,0,0,0,0,0,0,1,33,15313740,1.801642,19685723,1.92898
2022-12-19,1,0,0,0,0,0,0,1,0,40,12657582,1.788027,13517068,1.661306
2022-12-26,2,1,0,0,0,0,0,1,52,25,13256179,1.829582,20043637,1.847889
2023-01-02,1,1,0,0,0,0,0,0,51,39,14358114,1.873518,24502687,2.026852
2023-01-09,0,0,0,0,0,0,0,0,50,52,14809018,1.933171,21504721,1.96536
2023-01-16,1,0,0,0,0,0,0,0,49,18,8085564,1.740959,16447124,1.775042
2023-01-23,0,0,0,0,0,0,0,0,48,16,4522243,1.686864,25806199,2.164845
2023-01-30,0,0,0,0,0,0,0,0,47,17,6027315,1.702563,17266454,1.818865
2023-02-06,0,0,0,0,0,0,0,0,46,40,12871843,1.859338,12557251,1.669606
2023-02-13,0,0,0,0,0,0,0,0,45,26,14863207,1.84897,17996659,1.804342
2023-02-20,1,0,0,0,0,0,0,0,44,47,13035011,1.843645,18359131,1.869703
2023-02-27,0,0,0,0,0,0,0,0,43,22,8359821,1.753168,16055187,1.799881
2023-03-06,0,0,0,0,0,0,0,0,42,9,1682059,1.622844,16742392,1.82938
2023-03-13,0,0,0,0,0,0,0,0,41,37,9137573,1.764596,10936851,1.622918
2023-03-20,0,0,0,0,0,0,0,0,40,0,3502112,1.654379,4559940,1.528776
2023-03-27,0,0,0,0,0,0,0,0,39,29,7323100,1.765362,19436351,1.831923
2023-04-03,0,0,0,0,0,0,0,0,38,58,15084011,1.861583,15630474,1.757498
2023-04-10,0,0,0,0,0,0,0,0,37,51,12679346,1.816606,13626173,1.702434
2023-04-17,0,0,0,0,0,0,0,0,36,41,7226175,1.726163,18162523,1.829498
2023-04-24,0,0,0,0,0,0,0,0,35,40,11110481,1.800553,14356424,1.734471
2023-05-01,0,0,0,0,0,0,0,0,34,38,3044578,1.669736,20358302,1.862464
2023-05-08,0,0,0,0,0,0,0,0,33,36,10692198,1.810601,18736321,1.84956
2023-05-15,0,0,0,0,0,0,0,0,32,24,8284259,1.742426,7585443,1.542897
2023-05-22,0,0,0,0,0,0,0,0,31,46,8390285,1.709412,13785012,1.707314
2023-05-29,1,0,1,0,0,0,0,0,30,38,8726542,1.774238,26469018,2.140378
2023-06-05,0,0,0,0,0,0,0,0,29,58,13254693,1.851097,19157404,1.879136
2023-06-12,0,0,0,0,0,0,0,0,28,18,4272606,1.733175,11516618,1.622692
2023-06-19,1,0,0,0,1,0,0,0,27,32,4064435,1.668502,6705539,1.540727
2023-06-26,0,0,0,0,0,0,0,0,26,64,17725405,1.890418,27808082,2.251114
2023-07-03,1,0,0,1,0,0,0,0,25,27,4358632,1.677023,21162054,1.954452
2023-07-10,0,0,0,0,0,0,0,0,24,28,6332627,1.74911,6586999,1.537937
2023-07-17,0,0,0,0,0,0,0,0,23,34,13249348,1.857776,17667220,1.844569
2023-07-24,0,0,0,0,0,0,0,0,22,33,6715784,1.755617,20660732,1.929269
2023-07-31,0,0,0,0,0,0,0,0,21,30,6879266,1.677399,24120923,2.057941
2023-08-07,0,0,0,0,0,0,0,0,20,42,9005166,1.710796,19349734,1.890679
2023-08-14,0,0,0,0,0,0,0,0,19,37,10489978,1.719763,18120759,1.819441
2023-08-21,0,0,0,0,0,0,0,0,18,48,11095615,1.804372,24269141,2.091819
2023-08-28,0,0,0,0,0,0,0,0,17,26,4303157,1.666546,24460104,2.090424
2023-09-04,1,0,0,0,0,1,0,0,16,100,24898026,2.103252,24365521,2.112651
2023-09-11,0,0,0,0,0,0,0,0,15,59,15528042,1.864338,28624457,2.292192
2023-09-18,0,0,0,0,0,0,0,0,14,38,16417383,1.883833,20618251,1.92533
2023-09-25,0,0,0,0,0,0,0,0,13,37,6184144,1.716171,26985820,2.281802
2023-10-02,0,0,0,0,0,0,0,0,12,56,18041948,1.913782,26901771,2.314918
2023-10-09,1,0,0,0,0,0,0,0,11,49,11124271,1.807857,25893500,2.150325
2023-10-16,0,0,0,0,0,0,0,0,10,37,12006965,1.769126,19996518,1.943224
2023-10-23,0,0,0,0,0,0,0,0,9,51,11431834,1.803542,29792258,2.425617
2023-10-30,0,0,0,0,0,0,0,0,8,17,8285587,1.731857,14665492,1.754816
2023-11-06,2,0,0,0,0,0,0,0,7,45,19839153,1.989236,20364963,1.940069
2023-11-13,0,0,0,0,0,0,0,0,6,38,16497653,1.903961,27654326,2.240599
2023-11-20,1,0,0,0,0,0,1,0,5,36,13579990,1.85904,19861247,1.872868
2023-11-27,0,0,0,0,0,0,0,0,4,40,16664659,1.911476,27895281,2.167899
2023-12-04,0,0,0,0,0,0,0,0,3,57,21946007,2.040071,24244310,2.041812
2023-12-11,0,0,0,0,0,0,0,0,2,34,6398793,1.685969,20548556,1.926216
2023-12-18,0,0,0,0,0,0,0,0,1,48,17184112,1.947668,11130788,1.623196
2023-12-25,1,0,0,0,0,0,0,1,0,29,9770384,1.800521,16247086,1.757195
2024-01-01,1,1,0,0,0,0,0,0,51,34,11293870,1.813692,26596968,2.230388
2024-01-08,0,0,0,0,0,0,0,0,50,39,16628966,1.895952,21400898,1.964635
2024-01-15,1,0,0,0,0,0,0,0,49,24,6208651,1.691649,15424323,1.754236
