Date,Insertion Order,Device Type,App/URL,Impressions,Clicks,Revenue (Advertiser Currency),Starts (Video),Complete Views (Video),Completion Rate (Video)
2021/09/20,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],1017973,1454,32575.14,989704,925117,0.9347
2021/09/27,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],565098,1229,18083.13,549635,524302,0.9539
2021/10/04,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],673270,778,21544.65,662080,638640,0.9646
2021/10/11,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],1215622,1511,38899.91,1200012,1134920,0.9458
2021/10/25,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],597347,738,19115.1,584526,557311,0.9534
2021/11/15,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],984313,2208,31498.0,957102,930535,0.9722
2021/11/22,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],932585,1489,29842.71,913207,851949,0.9329
2021/12/06,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],920765,2442,29464.47,903876,848396,0.9386
2021/12/27,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],1166247,2908,37319.9,1158644,1107818,0.9561
2022/01/03,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],847427,1558,27117.68,822604,794429,0.9657
2022/01/10,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],2910320,7703,93130.24,2871377,2785486,0.9701
2022/01/17,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],617116,1553,19747.72,610900,596651,0.9767
2022/01/17,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],617116,1553,19747.72,610900,596651,0.9767
2022/01/24,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],1786165,3050,57157.27,1747835,1684834,0.964
2022/01/31,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],474925,663,15197.61,461366,444394,0.9632
2022/02/07,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],945065,1416,30242.07,935676,909646,0.9722
2022/02/14,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],610985,1429,19551.53,604954,581139,0.9606
2022/02/21,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],989114,1702,31651.65,972269,908242,0.9341
2022/02/28,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],952676,1031,30485.64,932636,879969,0.9435
2022/03/14,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],652905,1876,20892.96,644386,618150,0.9593
2022/03/21,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],897521,1898,28720.67,874405,844777,0.9661
2022/03/28,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],1580954,3583,50590.53,1562115,1518781,0.9723
2022/04/11,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],976579,1100,31250.54,965230,927048,0.9604
2022/04/18,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],710861,1682,22747.55,695312,671505,0.9658
2022/04/25,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],1442202,2192,46150.46,1400642,1312733,0.9372
2022/05/02,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],5195931,5622,166269.78,5151305,4956347,0.9622
2022/05/16,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],844640,2212,27028.47,835674,804230,0.9624
2022/05/30,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],1635671,2185,52341.46,1610689,1537266,0.9544
2022/06/06,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],2427846,6286,77691.07,2377862,2255657,0.9486
2022/06/13,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],1099664,1172,35189.25,1080449,1053013,0.9746
2022/07/11,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],4758487,7837,152271.59,4710494,4494912,0.9542
2022/07/25,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],1253032,1827,40097.02,1228772,1164451,0.9477
2022/08/01,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],642002,725,20544.08,636250,597244,0.9387
2022/08/08,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],837422,1328,26797.5,832091,799275,0.9606
2022/08/22,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],875362,2088,28011.6,856624,816342,0.953
2022/08/29,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],1019779,2962,32632.92,991810,926158,0.9338
2022/09/12,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],1534707,2163,49110.61,1500174,1406982,0.9379
2022/09/26,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],679804,1798,21753.72,660697,643575,0.9741
2022/10/10,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],767945,1121,24574.23,755404,737308,0.976
2022/10/17,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],933917,2278,29885.33,909498,847643,0.932
2022/10/31,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],976638,2086,31252.43,953460,930173,0.9756
2022/11/07,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],615009,1161,19680.29,606927,587428,0.9679
2022/11/14,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],637087,796,20386.8,624469,586809,0.9397
2022/11/21,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],604259,887,19336.3,592891,576585,0.9725
2022/12/26,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],1461045,1597,46753.43,1440837,1377351,0.9559
2023/01/02,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],570130,1652,18244.17,567056,545679,0.9623
2023/01/09,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],533493,822,17071.79,519132,486771,0.9377
2023/01/16,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],626311,707,20041.95,618134,575010,0.9302
2023/01/23,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],1425219,4250,45607.0,1390878,1338566,0.9624
2023/02/06,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],1549262,2967,49576.39,1525185,1484965,0.9736
2023/02/13,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],791434,1258,25325.89,768349,737992,0.9605
2023/02/27,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],2199375,6306,70380.0,2146046,2036936,0.9492
2023/03/06,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],644799,1142,20633.56,640361,601641,0.9395
2023/03/13,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],2498215,2564,79942.89,2481740,2369547,0.9548
2023/03/20,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],4600272,7040,147208.7,4483897,4327877,0.9652
2023/03/27,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],1008070,2615,32258.23,1001809,972248,0.9705
2023/04/03,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],2452417,6118,78477.34,2422788,2281506,0.9417
2023/04/10,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],978167,1833,31301.36,963771,916541,0.951
2023/04/17,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],1202577,3047,38482.45,1179114,1153924,0.9786
2023/04/24,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],1017940,2752,32574.09,1008028,956479,0.9489
2023/05/01,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],1406182,2948,44997.83,1364836,1323905,0.97
2023/05/08,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],705032,1977,22561.02,695856,659372,0.9476
2023/05/15,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],2071028,3531,66272.88,2043921,1954127,0.9561
2023/05/29,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],1054777,1934,33752.87,1033826,986464,0.9542
2023/06/05,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],2683243,2837,85863.77,2611701,2507679,0.9602
2023/06/12,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],1182165,2785,37829.27,1175530,1134364,0.965
2023/07/03,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],2351966,6605,75262.9,2314182,2234879,0.9657
2023/07/10,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],1891957,4655,60542.64,1843911,1721460,0.9336
2023/07/17,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],697972,1398,22335.11,682103,648639,0.9509
2023/07/24,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],2202947,4628,70494.32,2186894,2134506,0.976
2023/07/31,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],1677181,2065,53669.8,1646433,1560639,0.9479
2023/08/07,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],1850627,4046,59220.06,1840122,1761437,0.9572
2023/08/21,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],2031837,3103,65018.79,1994469,1946997,0.9762
2023/08/28,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],749770,1266,23992.63,731242,697734,0.9542
2023/09/04,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],605077,1356,19362.46,599948,582704,0.9713
2023/09/18,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],1560671,1782,49941.46,1534320,1457237,0.9498
2023/09/25,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],584637,1223,18708.38,573504,545247,0.9507
2023/10/09,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],1868780,4007,59800.97,1823448,1722584,0.9447
2023/11/06,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],2095491,5027,67055.72,2049583,1945816,0.9494
2023/12/04,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],517769,952,16568.61,505201,484900,0.9598
2023/12/11,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],969599,970,31027.18,941650,880909,0.9355
2023/12/18,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],2431962,7023,77822.79,2362024,2290965,0.9699
2023/12/25,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],1364747,3377,43671.9,1342647,1303558,0.9709
2024/01/01,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],868301,1295,27785.63,853092,802158,0.9403
2024/01/22,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],3267215,4449,104550.88,3181668,3090588,0.9714
2024/01/29,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],1569427,3849,50221.67,1535872,1456535,0.9483
2024/02/12,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],837553,1673,26801.71,825819,780713,0.9454
2024/02/19,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],2286555,5064,73169.77,2274447,2194473,0.9648
2024/03/04,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],1859427,4501,59501.66,1825924,1714743,0.9391
2024/03/11,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],944766,2464,30232.53,920939,886762,0.9629
2024/03/18,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],2676522,5459,85648.7,2634210,2574758,0.9774
2024/03/25,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],659020,1706,21088.65,650476,637427,0.9799
2024/04/01,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],1165089,1552,37282.85,1135217,1078659,0.9502
2024/04/15,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],648242,789,20743.75,639545,594851,0.9301
2024/04/22,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],2393049,6169,76577.56,2368852,2220177,0.9372
2024/05/06,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],1166910,1579,37341.11,1156236,1115690,0.9649
2024/05/13,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],1325319,3074,42410.2,1309388,1266769,0.9675
2024/05/20,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],3501180,4927,112037.77,3439624,3299530,0.9593
2024/06/03,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],1461402,2314,46764.87,1447913,1376265,0.9505
2024/06/10,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],1122497,1128,35919.89,1096780,1045786,0.9535
2024/06/17,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],1099042,1554,35169.35,1077197,1007925,0.9357
2024/06/24,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],1306230,1506,41799.36,1275151,1208558,0.9478
2024/07/01,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],644960,1639,20638.72,633771,599727,0.9463
2024/07/22,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],1500376,3457,48012.04,1466702,1408604,0.9604
2024/07/29,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],563689,1436,18038.03,547110,521280,0.9528
2024/08/12,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],725939,1213,23230.06,713938,682917,0.9565
2024/08/19,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],1080339,2816,34570.85,1056890,1032563,0.977
2024/08/26,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],1333299,3165,42665.57,1319226,1234969,0.9361
2024/09/02,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],1118293,2565,35785.38,1088277,1038883,0.9546
2024/09/09,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],939268,2256,30056.58,912000,851465,0.9336
2024/09/16,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],1850765,4445,59224.47,1818710,1693373,0.9311
2024/09/30,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],746545,1688,23889.43,742185,700917,0.9444
2024/10/07,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],1437592,2289,46002.93,1426942,1389273,0.9736
2024/10/14,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],619153,1594,19812.91,603067,581458,0.9642
2024/11/04,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],689504,1824,22064.14,679869,645433,0.9493
2024/11/11,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],560730,1142,17943.37,547408,511962,0.9352
2024/11/25,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],866907,1674,27741.03,858219,813907,0.9484
2024/12/02,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],1830771,3791,58584.68,1820723,1772408,0.9735
2024/12/09,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],2564775,3497,82072.79,2547697,2380238,0.9343
2024/12/23,Q3 CTV Awareness,Connected TV,[Roku Channel - Roku (12)],2081683,5764,66613.86,2058901,1936806,0.9407

,,,,Grand Total,197492113,383273,6319747.6899999995

Report Date,2026/08/18
Report Type,STANDARD
Advertiser,Acme Inc
