segments.week,campaign.name,metrics.impressions,metrics.video_views,metrics.video_view_rate,metrics.video_quartile_p25_rate,metrics.video_quartile_p50_rate,metrics.video_quartile_p75_rate,metrics.video_quartile_p100_rate,metrics.cost_micros
2021-01-04,US | YouTube | Video,10581018,3295322,0.311437,0.6965,0.4882,0.4307,0.3318,126972213401
2021-07-05,US | YouTube | Video,2383579,787801,0.330512,0.6976,0.4592,0.4265,0.3457,28602944958
2021-07-12,US | YouTube | Video,0,0,0.0,0.6131,0.5274,0.3992,0.3348,0
2021-07-19,US | YouTube | Video,3566361,1020852,0.286245,0.6634,0.5062,0.3857,0.319,42796337423
2021-07-26,US | YouTube | Video,2413173,767458,0.318029,0.6591,0.5495,0.4307,0.3297,28958081450
2021-08-02,US | YouTube | Video,3369923,951626,0.282388,0.6203,0.508,0.4001,0.3235,40439079492
2021-08-09,US | YouTube | Video,0,0,0.0,0.6877,0.5159,0.4394,0.3483,0
2021-08-16,US | YouTube | Video,0,0,0.0,0.6408,0.4696,0.3619,0.2875,0
2021-08-23,US | YouTube | Video,4048300,1372370,0.338999,0.6242,0.4918,0.4346,0.3459,48579601082
2021-08-30,US | YouTube | Video,5801299,1845374,0.318097,0.693,0.4529,0.3732,0.251,69615588537
2021-09-06,US | YouTube | Video,0,0,0.0,0.6836,0.5378,0.4254,0.3204,0
2021-09-13,US | YouTube | Video,3636941,1284485,0.353177,0.671,0.4555,0.3757,0.2774,43643296264
2021-09-20,US | YouTube | Video,10075575,3549441,0.352282,0.6806,0.4779,0.4054,0.2681,120906898508
2021-09-27,US | YouTube | Video,2840309,825343,0.290582,0.6974,0.4877,0.444,0.3332,34083710739
2021-10-04,US | YouTube | Video,0,0,0.0,0.6569,0.4673,0.413,0.2994,0
2021-10-11,US | YouTube | Video,0,0,0.0,0.6961,0.5276,0.3649,0.3001,0
2021-10-18,US | YouTube | Video,1710931,562744,0.328911,0.658,0.5096,0.4167,0.3178,20531167385
2021-10-25,US | YouTube | Video,1965044,569497,0.289814,0.6444,0.5186,0.381,0.3473,23580524873
2021-11-01,US | YouTube | Video,0,0,0.0,0.6482,0.4683,0.3995,0.2714,0
2021-11-08,US | YouTube | Video,3271092,1136662,0.347487,0.6291,0.493,0.3854,0.3279,39253105562
2021-11-15,US | YouTube | Video,0,0,0.0,0.635,0.4792,0.3726,0.275,0
2021-11-22,US | YouTube | Video,0,0,0.0,0.6782,0.4846,0.4104,0.2694,0
2021-11-29,US | YouTube | Video,3361562,1163066,0.34599,0.619,0.5384,0.3624,0.2518,40338738670
2021-12-06,US | YouTube | Video,2052137,577481,0.281405,0.6373,0.5396,0.4046,0.327,24625649140
2021-12-13,US | YouTube | Video,1689752,600784,0.355546,0.6055,0.4579,0.3685,0.2941,20277018220
2021-12-20,US | YouTube | Video,1592632,450383,0.282792,0.6946,0.4726,0.3622,0.3006,19111585245
2021-12-27,US | YouTube | Video,2738417,963871,0.351981,0.6678,0.5482,0.3806,0.3341,32860999042
2022-01-03,US | YouTube | Video,2182802,730836,0.334816,0.6372,0.4896,0.3824,0.2524,26193620424
2022-01-10,US | YouTube | Video,2836975,884527,0.311785,0.6044,0.5254,0.4024,0.3058,34043697676
2022-01-17,US | YouTube | Video,0,0,0.0,0.6418,0.5333,0.4389,0.3497,0
2022-01-24,US | YouTube | Video,1178247,345041,0.292843,0.6387,0.5008,0.3911,0.282,14138962438
2022-01-31,US | YouTube | Video,0,0,0.0,0.6036,0.5165,0.4058,0.2736,0
2022-02-07,US | YouTube | Video,0,0,0.0,0.6601,0.4779,0.4178,0.273,0
2022-02-14,US | YouTube | Video,1548474,447296,0.288862,0.6207,0.5346,0.4137,0.3305,18581690128
2022-02-21,US | YouTube | Video,0,0,0.0,0.6041,0.4783,0.4023,0.2783,0
2022-02-28,US | YouTube | Video,4027335,1343211,0.333524,0.6877,0.5215,0.4282,0.3084,48328024834
2022-03-07,US | YouTube | Video,1443822,417168,0.288933,0.6576,0.5243,0.4208,0.3132,17325864124
2022-03-14,US | YouTube | Video,3923839,1136284,0.289585,0.6387,0.5014,0.352,0.3041,47086064484
2022-03-21,US | YouTube | Video,1891412,534351,0.282514,0.6601,0.4697,0.4292,0.3118,22696949627
2022-03-28,US | YouTube | Video,38734384,12493617,0.322546,0.6382,0.5389,0.3542,0.3178,464812606597
2022-04-04,US | YouTube | Video,5493217,1676124,0.305126,0.6352,0.535,0.3904,0.2749,65918599719
2022-04-11,US | YouTube | Video,5824410,1715096,0.294467,0.6341,0.4846,0.3813,0.3004,69892923968
2022-04-18,US | YouTube | Video,6499002,2067175,0.318076,0.6557,0.524,0.4132,0.2543,77988022868
2022-04-25,US | YouTube | Video,5862840,1962167,0.334679,0.609,0.5095,0.4053,0.2573,70354084502
2022-05-02,US | YouTube | Video,1841234,524017,0.284601,0.6723,0.533,0.3587,0.2581,22094804816
2022-05-09,US | YouTube | Video,1425138,473184,0.332027,0.6675,0.4505,0.406,0.3285,17101655721
2022-05-16,US | YouTube | Video,2815747,1010853,0.359,0.6166,0.4826,0.3824,0.3189,33788967427
2022-05-23,US | YouTube | Video,6835277,2105410,0.308021,0.6662,0.4877,0.4322,0.2763,82023326200
2022-05-30,US | YouTube | Video,6820178,2158946,0.316553,0.6453,0.5387,0.3771,0.3058,81842133232
2022-06-06,US | YouTube | Video,15027213,4357655,0.289984,0.6816,0.4502,0.4373,0.2525,180326561507
2022-06-13,US | YouTube | Video,5376994,1817657,0.338043,0.6571,0.4525,0.4275,0.2696,64523923462
2022-06-20,US | YouTube | Video,1335573,461712,0.345703,0.6418,0.502,0.3864,0.3327,16026878891
2022-06-27,US | YouTube | Video,5233952,1732389,0.330991,0.6046,0.5448,0.3784,0.311,62807425044
2022-07-04,US | YouTube | Video,1312942,416229,0.31702,0.642,0.4852,0.3559,0.2723,15755306550
2022-07-11,US | YouTube | Video,2707072,921430,0.340379,0.6371,0.457,0.3837,0.2611,32484868660
2022-07-18,US | YouTube | Video,1489723,529823,0.355652,0.6329,0.5026,0.4093,0.3119,17876676401
2022-07-25,US | YouTube | Video,2235661,752583,0.336627,0.6124,0.4605,0.4002,0.3118,26827931490
2022-08-01,US | YouTube | Video,3150420,1010390,0.320716,0.6786,0.4634,0.3935,0.3035,37805044251
2022-08-08,US | YouTube | Video,1908191,685592,0.359289,0.6501,0.534,0.3699,0.2811,22898288098
2022-08-15,US | YouTube | Video,6004366,2121103,0.35326,0.6188,0.5258,0.3563,0.2792,72052388973
2022-08-22,US | YouTube | Video,11323604,3830538,0.338279,0.6447,0.5463,0.448,0.2537,135883252025
2022-08-29,US | YouTube | Video,1200744,430269,0.358335,0.6485,0.4949,0.3867,0.2908,14408926818
2022-09-05,US | YouTube | Video,3102421,1026234,0.330785,0.6025,0.4905,0.4381,0.3329,37229052981
2022-09-12,US | YouTube | Video,2780606,965138,0.347096,0.602,0.5155,0.415,0.2981,33367271046
2022-09-19,US | YouTube | Video,2232698,656880,0.294209,0.6304,0.4675,0.4381,0.3182,26792376632
2022-09-26,US | YouTube | Video,0,0,0.0,0.6408,0.4779,0.4328,0.3161,0
2022-10-03,US | YouTube | Video,0,0,0.0,0.6591,0.5227,0.4059,0.3074,0
2022-10-10,US | YouTube | Video,0,0,0.0,0.6083,0.5293,0.4049,0.3048,0
2022-10-17,US | YouTube | Video,3487859,1253320,0.359338,0.6018,0.4568,0.3541,0.2661,41854305571
2022-10-24,US | YouTube | Video,2103783,723033,0.343682,0.6083,0.4767,0.368,0.2788,25245396678
2022-10-31,US | YouTube | Video,0,0,0.0,0.608,0.544,0.4473,0.2704,0
2022-11-07,US | YouTube | Video,3583626,1130486,0.315459,0.6787,0.4962,0.366,0.2808,43003515957
2022-11-14,US | YouTube | Video,2603864,827892,0.317947,0.6508,0.5241,0.4285,0.2936,31246371808
2022-11-21,US | YouTube | Video,0,0,0.0,0.6138,0.4736,0.4148,0.2729,0
2022-11-28,US | YouTube | Video,1557084,548036,0.351963,0.6634,0.4756,0.3986,0.2736,18685002064
2022-12-05,US | YouTube | Video,0,0,0.0,0.6955,0.4793,0.4492,0.3315,0
2022-12-12,US | YouTube | Video,0,0,0.0,0.6041,0.5413,0.4094,0.2655,0
2022-12-19,US | YouTube | Video,6097945,1776111,0.291264,0.684,0.4784,0.3794,0.274,73175344139
2022-12-26,US | YouTube | Video,3484351,1019773,0.292672,0.6759,0.4985,0.3936,0.2531,41812206925
2023-01-02,US | YouTube | Video,1726552,580707,0.336339,0.6018,0.4601,0.364,0.3211,20718623217
2023-01-09,US | YouTube | Video,3002746,1048356,0.349132,0.6649,0.5208,0.3725,0.2533,36032950365
2023-01-16,US | YouTube | Video,0,0,0.0,0.6955,0.5403,0.3652,0.2609,0
2023-01-23,US | YouTube | Video,6707709,2332107,0.347676,0.6684,0.4534,0.4183,0.2593,80492508357
2023-01-30,US | YouTube | Video,4056159,1182511,0.291535,0.6622,0.4885,0.364,0.3432,48673908853
2023-02-06,US | YouTube | Video,2585310,874072,0.338092,0.6641,0.4508,0.3857,0.2771,31023717163
2023-02-13,US | YouTube | Video,3225339,1062884,0.329542,0.6566,0.5275,0.4416,0.3249,38704063134
2023-02-20,US | YouTube | Video,9023284,3106706,0.344299,0.6483,0.5395,0.4219,0.3212,108279407228
2023-02-27,US | YouTube | Video,4408592,1244583,0.282309,0.608,0.5162,0.4259,0.281,52903109135
2023-03-06,US | YouTube | Video,2293480,718310,0.313197,0.6319,0.5083,0.38,0.2501,27521762890
2023-03-13,US | YouTube | Video,0,0,0.0,0.6407,0.5161,0.4209,0.3145,0
2023-03-20,US | YouTube | Video,2801145,809916,0.289137,0.6243,0.4808,0.399,0.2967,33613742996
2023-03-27,US | YouTube | Video,0,0,0.0,0.6732,0.4939,0.3635,0.3172,0
2023-04-03,US | YouTube | Video,8755012,3025091,0.345527,0.6127,0.5479,0.431,0.3448,105060141985
2023-04-10,US | YouTube | Video,5542733,1668098,0.300952,0.616,0.4995,0.3629,0.3271,66512793825
2023-04-17,US | YouTube | Video,4111972,1158304,0.281691,0.6547,0.5214,0.3546,0.2702,49343659865
2023-04-24,US | YouTube | Video,0,0,0.0,0.6729,0.4932,0.3566,0.2527,0
2023-05-01,US | YouTube | Video,4998142,1485111,0.297133,0.6512,0.5491,0.4263,0.2739,59977706191
2023-05-08,US | YouTube | Video,1677282,524426,0.312664,0.6506,0.4832,0.3551,0.3433,20127389454
2023-05-15,US | YouTube | Video,0,0,0.0,0.6788,0.5377,0.447,0.2972,0
2023-05-22,US | YouTube | Video,3437423,998811,0.29057,0.6662,0.4518,0.3569,0.3327,41249079034
2023-05-29,US | YouTube | Video,0,0,0.0,0.6834,0.4702,0.4077,0.3451,0
2023-06-05,US | YouTube | Video,3443526,1238505,0.359662,0.6514,0.4699,0.4289,0.3279,41322316000
2023-06-12,US | YouTube | Video,1511585,457513,0.302671,0.6443,0.4798,0.4473,0.2943,18139017925
2023-06-19,US | YouTube | Video,1433916,430851,0.300472,0.6802,0.5064,0.377,0.2815,17206995143
2023-06-26,US | YouTube | Video,1611677,514695,0.319354,0.6842,0.5008,0.4225,0.2717,19340129766
2023-07-03,US | YouTube | Video,5470125,1545012,0.282445,0.6991,0.4981,0.4031,0.317,65641499547
2023-07-10,US | YouTube | Video,4411679,1412249,0.320116,0.6972,0.4942,0.425,0.2586,52940147838
2023-07-17,US | YouTube | Video,4215086,1244700,0.295296,0.6597,0.4887,0.4067,0.3422,50581027945
2023-07-24,US | YouTube | Video,1262218,406970,0.322424,0.692,0.4633,0.4011,0.2698,15146612551
2023-07-31,US | YouTube | Video,4258351,1306646,0.306843,0.6203,0.494,0.4496,0.334,51100209262
2023-08-07,US | YouTube | Video,8017643,2622652,0.32711,0.6349,0.542,0.4161,0.3382,96211712874
2023-08-14,US | YouTube | Video,3036111,852636,0.280832,0.6784,0.5233,0.3718,0.3412,36433328965
2023-08-21,US | YouTube | Video,1609880,492007,0.305617,0.6189,0.4502,0.3515,0.292,19318561382
2023-08-28,US | YouTube | Video,1434509,469078,0.326996,0.6757,0.4881,0.4092,0.3247,17214103523
2023-09-04,US | YouTube | Video,2322963,656855,0.282766,0.6296,0.4546,0.4481,0.2744,27875552777
2023-09-11,US | YouTube | Video,4315797,1329059,0.307952,0.615,0.5458,0.4197,0.3214,51789559944
2023-09-18,US | YouTube | Video,2642397,810378,0.306683,0.681,0.5022,0.4023,0.3105,31708760357
2023-09-25,US | YouTube | Video,3762696,1232796,0.327636,0.6554,0.4971,0.4024,0.2984,45152355075
2023-10-02,US | YouTube | Video,2586454,874855,0.338245,0.6736,0.5138,0.3964,0.3333,31037442329
2023-10-09,US | YouTube | Video,4824524,1527175,0.316544,0.684,0.5359,0.3739,0.2675,57894282219
2023-10-16,US | YouTube | Video,4852860,1648732,0.339744,0.6728,0.5104,0.3586,0.2597,58234320622
2023-10-23,US | YouTube | Video,4312615,1248082,0.289403,0.6847,0.4757,0.4181,0.2703,51751383781
2023-10-30,US | YouTube | Video,1523032,543559,0.356893,0.6,0.4605,0.3739,0.3422,18276385092
2023-11-06,US | YouTube | Video,2045318,656949,0.321197,0.644,0.4832,0.389,0.3035,24543813992
2023-11-13,US | YouTube | Video,0,0,0.0,0.6936,0.5388,0.435,0.333,0
2023-11-20,US | YouTube | Video,4049898,1246245,0.307723,0.6885,0.5477,0.3628,0.2877,48598780344
2023-11-27,US | YouTube | Video,0,0,0.0,0.6936,0.5428,0.3648,0.3487,0
2023-12-04,US | YouTube | Video,0,0,0.0,0.6792,0.5133,0.4483,0.2724,0
2023-12-11,US | YouTube | Video,7465083,2515961,0.337031,0.6377,0.5412,0.3727,0.3189,89580996530
2023-12-18,US | YouTube | Video,3204738,988329,0.308396,0.6458,0.4691,0.4452,0.3419,38456859975
2023-12-25,US | YouTube | Video,0,0,0.0,0.6552,0.5432,0.3744,0.2696,0
2024-01-01,US | YouTube | Video,2878823,897004,0.311587,0.6249,0.4892,0.3786,0.2593,34545872041
2024-01-08,US | YouTube | Video,5266493,1671255,0.317337,0.6008,0.5205,0.4238,0.2588,63197910780
2024-01-15,US | YouTube | Video,2302952,733007,0.31829,0.6062,0.5353,0.3569,0.3458,27635423025
2024-01-22,US | YouTube | Video,0,0,0.0,0.6558,0.4508,0.4426,0.3488,0
2024-01-29,US | YouTube | Video,3698546,1279174,0.345859,0.6381,0.4505,0.4019,0.2981,44382554011
2024-02-05,US | YouTube | Video,9517391,3071340,0.322708,0.6717,0.4676,0.3534,0.304,114208690988
2024-02-12,US | YouTube | Video,0,0,0.0,0.6457,0.5434,0.4289,0.2588,0
2024-02-19,US | YouTube | Video,2076863,609638,0.293538,0.6351,0.5406,0.3633,0.3291,24922358755
2024-02-26,US | YouTube | Video,3744848,1135796,0.303296,0.6272,0.5394,0.368,0.2737,44938174892
2024-03-04,US | YouTube | Video,2478526,864117,0.348641,0.6645,0.5181,0.3764,0.3336,29742309462
2024-03-11,US | YouTube | Video,3758600,1070988,0.284943,0.6455,0.5431,0.4043,0.2505,45103201774
2024-03-18,US | YouTube | Video,6955222,2076017,0.298483,0.6019,0.4835,0.4379,0.3435,83462660438
2024-03-25,US | YouTube | Video,2555727,718506,0.281136,0.6174,0.5432,0.3924,0.3451,30668718807
2024-04-01,US | YouTube | Video,0,0,0.0,0.6108,0.4898,0.4278,0.2956,0
2024-04-08,US | YouTube | Video,2214365,750761,0.339041,0.6032,0.5239,0.3601,0.3049,26572383040
2024-04-15,US | YouTube | Video,0,0,0.0,0.6474,0.4503,0.3692,0.3425,0
2024-04-22,US | YouTube | Video,3879854,1144419,0.294964,0.6916,0.5115,0.3766,0.2912,46558242882
2024-04-29,US | YouTube | Video,2643093,847978,0.320828,0.6444,0.4649,0.3605,0.322,31717114644
2024-05-06,US | YouTube | Video,7163046,2137318,0.298381,0.679,0.4986,0.3527,0.3146,85956551773
2024-05-13,US | YouTube | Video,0,0,0.0,0.691,0.54,0.4448,0.2919,0
2024-05-20,US | YouTube | Video,1866032,653280,0.35009,0.6492,0.4961,0.3995,0.3419,22392385160
2024-05-27,US | YouTube | Video,2809864,844227,0.300451,0.6715,0.4546,0.4452,0.3146,33718366115
2024-06-03,US | YouTube | Video,1149603,358322,0.311692,0.6094,0.5201,0.3823,0.3304,13795234419
2024-06-10,US | YouTube | Video,2235640,637801,0.285288,0.6706,0.4806,0.3951,0.2793,26827681738
2024-06-17,US | YouTube | Video,5370834,1886311,0.351214,0.6266,0.5227,0.367,0.2826,64450006911
2024-06-24,US | YouTube | Video,1566637,499810,0.319034,0.6615,0.5053,0.4429,0.2607,18799647990
2024-07-01,US | YouTube | Video,2085489,697593,0.334499,0.6589,0.4821,0.352,0.2806,25025870263
2024-07-08,US | YouTube | Video,0,0,0.0,0.6593,0.4805,0.3621,0.3218,0
2024-07-15,US | YouTube | Video,5235332,1782746,0.340522,0.6632,0.4761,0.4016,0.297,62823984308
2024-07-22,US | YouTube | Video,0,0,0.0,0.6627,0.4877,0.4366,0.3425,0
2024-07-29,US | YouTube | Video,1925208,567802,0.29493,0.6835,0.508,0.4462,0.2638,23102491667
2024-08-05,US | YouTube | Video,0,0,0.0,0.6586,0.4868,0.4158,0.2785,0
2024-08-12,US | YouTube | Video,0,0,0.0,0.6722,0.5324,0.3811,0.3451,0
2024-08-19,US | YouTube | Video,1397754,401824,0.287478,0.6072,0.4802,0.3704,0.3125,16773047005
2024-08-26,US | YouTube | Video,3082690,877896,0.284782,0.6301,0.5069,0.3953,0.301,36992276961
2024-09-02,US | YouTube | Video,2826383,914573,0.323584,0.6434,0.5169,0.3569,0.2839,33916593512
2024-09-09,US | YouTube | Video,3801866,1290307,0.339388,0.6304,0.534,0.3824,0.3323,45622386304
2024-09-16,US | YouTube | Video,1353630,435138,0.32146,0.6764,0.5058,0.3647,0.3461,16243560943
2024-09-23,US | YouTube | Video,0,0,0.0,0.6408,0.5196,0.4286,0.2845,0
2024-09-30,US | YouTube | Video,1340295,425769,0.317668,0.6142,0.4799,0.3814,0.2907,16083543801
2024-10-07,US | YouTube | Video,0,0,0.0,0.6752,0.5223,0.4258,0.3359,0
2024-10-14,US | YouTube | Video,0,0,0.0,0.6031,0.5259,0.3584,0.2533,0
2024-10-21,US | YouTube | Video,6027551,2162973,0.358848,0.6223,0.5303,0.376,0.2587,72330614546
2024-10-28,US | YouTube | Video,0,0,0.0,0.6888,0.4622,0.426,0.3294,0
2024-11-04,US | YouTube | Video,0,0,0.0,0.6099,0.4742,0.4481,0.3051,0
2024-11-11,US | YouTube | Video,2344628,828383,0.353311,0.6735,0.4854,0.4051,0.2669,28135533181
2024-11-18,US | YouTube | Video,0,0,0.0,0.6999,0.4778,0.3732,0.2686,0
2024-11-25,US | YouTube | Video,0,0,0.0,0.6253,0.4878,0.4029,0.2806,0
2024-12-02,US | YouTube | Video,0,0,0.0,0.6582,0.4572,0.3523,0.2659,0
2024-12-09,US | YouTube | Video,5255579,1702760,0.323991,0.6555,0.4722,0.3747,0.3056,63066942511
2024-12-16,US | YouTube | Video,2913874,947961,0.325327,0.6352,0.499,0.3975,0.3393,34966484756
2024-12-23,US | YouTube | Video,2532670,750166,0.296196,0.6292,0.5077,0.3596,0.3405,30392039128
